Country Name,Income classification 2021,Population 2021,Region,Country Code,,
China,Upper middle income,1412360000,East Asia & Pacific,CHN,,
India,Lower middle income,1407563842,South Asia,IND,,
United States,High income,331893745,North America,USA,,
Indonesia,Lower middle income,273753191,East Asia & Pacific,IDN,,
Pakistan,Lower middle income,231402117,South Asia,PAK,,
Brazil,Upper middle income,214326223,Latin America & Caribbean,BRA,,
Nigeria,Lower middle income,213401323,Sub-Saharan Africa,NGA,,
Bangladesh,Lower middle income,169356251,South Asia,BGD,,
Russian Federation,Upper middle income,143449286,Europe & Central Asia,RUS,,
Mexico,Upper middle income,126705138,Latin America & Caribbean,MEX,,
Japan,High income,125681593,East Asia & Pacific,JPN,,
Ethiopia,Low income,120283026,Sub-Saharan Africa,ETH,,
Philippines,Lower middle income,113880328,East Asia & Pacific,PHL,,
"Egypt, Arab Rep.",Lower middle income,109262178,Middle East & North Africa,EGY,,
Vietnam,Lower middle income,97468029,East Asia & Pacific,VNM,,
"Congo, Dem. Rep.",Low income,95894118,Sub-Saharan Africa,COD,,
"Iran, Islamic Rep.",Lower middle income,87923432,Middle East & North Africa,IRN,,
Turkiye,Upper middle income,84775404,Europe & Central Asia,TUR,,
Germany,High income,83196078,Europe & Central Asia,DEU,,
Thailand,Upper middle income,71601103,East Asia & Pacific,THA,,
France,High income,67749632,Europe & Central Asia,FRA,,
United Kingdom,High income,67326569,Europe & Central Asia,GBR,,
Tanzania,Lower middle income,63588334,Sub-Saharan Africa,TZA,,
South Africa,Upper middle income,59392255,Sub-Saharan Africa,ZAF,,
Italy,High income,59109668,Europe & Central Asia,ITA,,
Myanmar,Lower middle income,53798084,East Asia & Pacific,MMR,,
Kenya,Lower middle income,53005614,Sub-Saharan Africa,KEN,,
"Korea, Rep.",High income,51744876,East Asia & Pacific,KOR,,
Colombia,Upper middle income,51516562,Latin America & Caribbean,COL,,
Spain,High income,47415750,Europe & Central Asia,ESP,,
Uganda,Low income,45853778,Sub-Saharan Africa,UGA,,
Argentina,Upper middle income,45808747,Latin America & Caribbean,ARG,,
Sudan,Low income,45657202,Sub-Saharan Africa,SDN,,
Algeria,Lower middle income,44177969,Middle East & North Africa,DZA,,
Ukraine,Lower middle income,43792855,Europe & Central Asia,UKR,,
Iraq,Upper middle income,43533592,Middle East & North Africa,IRQ,,
Afghanistan,Low income,40099462,South Asia,AFG,,
Canada,High income,38246108,North America,CAN,,
Poland,High income,37747124,Europe & Central Asia,POL,,
Morocco,Lower middle income,37076584,Middle East & North Africa,MAR,,
Saudi Arabia,High income,35950396,Middle East & North Africa,SAU,,
Uzbekistan,Lower middle income,34915100,Europe & Central Asia,UZB,,
Angola,Lower middle income,34503774,Sub-Saharan Africa,AGO,,
Peru,Upper middle income,33715471,Latin America & Caribbean,PER,,
Malaysia,Upper middle income,33573874,East Asia & Pacific,MYS,,
"Yemen, Rep.",Low income,32981641,Middle East & North Africa,YEM,,
Ghana,Lower middle income,32833031,Sub-Saharan Africa,GHA,,
Mozambique,Low income,32077072,Sub-Saharan Africa,MOZ,,
Nepal,Lower middle income,30034989,South Asia,NPL,,
Madagascar,Low income,28915653,Sub-Saharan Africa,MDG,,
"Venezuela, RB",Lower middle income,28199867,Latin America & Caribbean,VEN,,
Cote d'Ivoire,Lower middle income,27478249,Sub-Saharan Africa,CIV,,
Cameroon,Lower middle income,27198628,Sub-Saharan Africa,CMR,,
"Korea, Dem. People's Rep.",Low income,25971909,East Asia & Pacific,PRK,,
Australia,High income,25688079,East Asia & Pacific,AUS,,
